Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","052","Barbade","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","28835","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","052","Barbade","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","24630","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","112","Bélarus","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","5374522","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","112","Bélarus","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","802905","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","056","Belgique","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","4398560","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","056","Belgique","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1015509","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","084","Belize","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","67337","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","084","Belize","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","39105","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","204","Bénin","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","622817","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","204","Bénin","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1265823","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","068","Bolivie (État plurinational de)","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1385620","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","068","Bolivie (État plurinational de)","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1122930","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","070","Bosnie-Herzégovine","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","872857","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","070","Bosnie-Herzégovine","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","461388","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","072","Botswana","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","56129","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","072","Botswana","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","286307","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","076","Brésil","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","52174994","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","076","Brésil","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","19741119","I","Valeur imputée"
