Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5510","Production","23220.06","Amidon de manioc","2017","2017","tonnes","3097750","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5910","Exportations - Quantité","23220.06","Amidon de manioc","2017","2017","tonnes","3046083","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5510","Production","23170.01","Farine de manioc","2017","2017","tonnes","105455","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5910","Exportations - Quantité","23170.01","Farine de manioc","2017","2017","tonnes","87201","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5510","Production","01520.01","Manioc, frais","2017","2017","tonnes","30495190","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5510","Production","01520.02","Manioc séché","2017","2017","tonnes","5109311","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5910","Exportations - Quantité","01520.02","Manioc séché","2017","2017","tonnes","6402289","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5510","Production","23230.02","Tapioca de manioc","2017","2017","tonnes","52728","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","764","Thaïlande","5910","Exportations - Quantité","23230.02","Tapioca de manioc","2017","2017","tonnes","31756","A","Chiffre officiel"
